R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_gamma,L_gamma,R_d_gamma,L_d_gamma,R_beta,L_beta,R_d_beta,L_d_beta,R_T_w,L_T_w,R_T_p,L_T_p,R_l,L_l
1.905723,1.905723,2.982052,4.923077,1.051014,1.051014,0.835655,0.000000,-1.040315,-1.040315,-0.935695,-0.935695,-0.282135,-0.413231,-1.023607,-0.946684,-20.566570,-78.927185,0.440448,-2.780237,0.346931,0.359109
1.916505,1.916505,2.990408,4.923077,1.095444,1.095444,0.835655,0.000000,-1.032491,-1.032491,-0.668314,-0.668314,-0.277403,-0.405785,-0.986990,-0.690293,-20.566570,-78.927185,0.440448,-2.780237,0.346920,0.359206
1.927670,1.927670,2.998765,4.923077,1.136259,1.136259,0.835655,0.000000,-1.027096,-1.027096,-0.285884,-0.285884,-0.275966,-0.400389,-0.692471,-0.285884,-20.566570,-78.927185,0.440448,-2.780237,0.347179,0.359206
1.938822,1.938822,3.007121,4.923077,1.065212,1.065212,0.835655,0.000000,-1.027231,-1.027231,-0.033416,-0.033416,-0.279483,-0.400719,-0.341101,-0.044404,-20.566570,-78.927185,0.440448,-2.780237,0.347392,0.359158
1.948230,1.948230,3.015478,4.923082,0.801544,0.801544,0.835655,0.000000,-1.018942,-1.018942,-2.124531,-2.124531,-0.270848,-0.392430,-2.069588,-2.080573,-20.566570,-78.927185,0.440448,-2.780237,0.347681,0.359158
1.954358,1.954358,3.023834,4.923087,0.495884,0.495884,0.835655,0.000000,-0.997393,-0.997393,-2.505895,-2.505895,-0.244136,-0.370123,-2.000403,-2.439959,-20.566570,-78.927185,0.440448,-2.780237,0.348534,0.359060
1.959535,1.959535,3.032191,4.923087,0.593238,0.593238,0.835655,0.000000,-0.980552,-0.980552,-0.816386,-0.816386,-0.220314,-0.348149,-0.146064,-0.135068,-20.566570,-78.927185,0.440448,-2.780237,0.348560,0.358912
1.965648,1.965648,3.040548,4.923087,0.587436,0.587436,0.835655,-0.008113,-0.977560,-0.977560,-0.377497,-0.377497,-0.211800,-0.335790,0.160961,0.534594,-20.566570,-78.927185,0.440448,-2.780237,0.347116,0.358868
1.971915,1.971915,3.048904,4.923025,0.712383,0.712383,0.835655,-0.004507,-0.975323,-0.975323,0.115721,0.115721,-0.205132,-0.262060,0.500333,0.665168,-20.566570,-78.927185,0.440448,-2.780237,0.346081,0.341329
1.979451,1.979451,3.057261,4.923002,0.740648,0.740648,0.835655,-0.000901,-0.978578,-0.978578,0.099742,0.099742,-0.206727,-0.264170,0.253584,0.154686,-20.566570,-78.927185,0.440448,-2.780237,0.345414,0.341024
1.986979,1.986979,3.065617,4.923004,0.782979,0.782979,0.835655,0.000000,-0.979002,-0.979002,0.157266,0.157266,-0.206934,-0.265154,0.168257,0.091334,-20.566570,-78.927185,0.440448,-2.780237,0.344968,0.341079
1.994766,1.994766,3.073974,4.923017,0.754712,0.754712,0.835655,0.001352,-0.979733,-0.979733,-0.109050,-0.109050,-0.207676,-0.265886,-0.131028,-0.098060,-20.566570,-78.927185,0.440448,-2.780237,0.345166,0.341079
2.001960,2.001960,3.082330,4.923035,0.679414,0.679414,0.835655,0.001352,-0.976732,-0.976732,-0.478697,-0.478697,-0.204117,-0.262884,-0.401776,-0.478697,-20.566570,-78.927185,0.440448,-2.780237,0.345315,0.341079
2.007907,2.007907,3.090687,4.923054,0.532975,0.532975,0.835655,0.002254,-0.968895,-0.968895,-0.906933,-0.906933,-0.194549,-0.253338,-0.764082,-0.632216,-20.566570,-78.927185,0.440448,-2.780237,0.345768,0.341531
2.013113,2.013113,3.099044,4.923088,0.507244,0.507244,0.835655,0.004057,-0.961948,-0.961948,-0.365779,-0.365779,-0.186437,-0.243681,-0.255889,-0.080066,-20.566570,-78.927185,0.440448,-2.780237,0.345772,0.342049
2.017945,2.017945,3.107400,4.923127,0.478133,0.478133,0.835655,0.003155,-0.957294,-0.957294,-0.358322,-0.358322,-0.178507,-0.235093,0.004312,0.092218,-20.566570,-78.927185,0.440448,-2.780237,0.344928,0.341578
2.023279,2.023279,3.115757,4.923116,0.587542,0.587542,0.835655,-0.004507,-0.953970,-0.953970,0.090154,0.090154,-0.171007,-0.228104,0.474766,0.419824,-20.566570,-78.927185,0.440448,-2.780237,0.343816,0.340927
2.029317,2.029317,3.124113,4.923087,0.605980,0.605980,0.835655,0.000000,-0.952632,-0.952632,0.000672,0.000672,-0.166447,-0.226037,0.286380,0.033640,-20.566570,-78.927185,0.440448,-2.780237,0.343054,0.340715
2.035388,2.035388,3.132470,4.923110,0.600546,0.600546,0.835655,0.004057,-0.950106,-0.950106,-0.107985,-0.107985,-0.162214,-0.223691,0.056850,-0.118975,-20.566570,-78.927185,0.440448,-2.780237,0.342496,0.340769
2.041135,2.041135,3.140826,4.923141,0.556635,0.556635,0.835655,0.002254,-0.946267,-0.946267,-0.218772,-0.218772,-0.158375,-0.219664,-0.218772,-0.163828,-20.566570,-78.927185,0.440448,-2.780237,0.342496,0.340818
2.046525,2.046525,3.149183,4.923151,0.525840,0.525840,0.835655,-0.000901,-0.941862,-0.941862,-0.122898,-0.122898,-0.153960,-0.213369,-0.111908,0.096876,-20.566570,-78.927185,0.440448,-2.780237,0.342599,0.341116
2.051764,2.051764,3.157540,4.923151,0.529124,0.529124,0.835655,0.000000,-0.937280,-0.937280,-0.014242,-0.014242,-0.148029,-0.206118,0.084661,0.282455,-20.566570,-78.927185,0.440448,-2.780237,0.342249,0.341217
2.057192,2.057192,3.165896,4.923151,0.549448,0.549448,0.835655,0.000000,-0.932866,-0.932866,0.050740,0.050740,-0.142093,-0.198819,0.215572,0.325460,-20.566570,-78.927185,0.440448,-2.780237,0.341539,0.341379
2.068370,2.068370,3.182609,4.923151,0.562918,0.562918,0.835655,0.000000,-0.920388,-0.920388,0.107199,0.107199,-0.124643,-0.184281,0.326977,0.184121,-20.566570,-78.927185,0.440448,-2.780237,0.340630,0.341723
2.073980,2.073980,3.190966,4.923151,0.557127,0.557127,0.835655,0.000000,-0.916123,-0.916123,0.105068,0.105068,-0.117121,-0.180016,0.379792,0.127046,-20.566570,-78.927185,0.440448,-2.780237,0.340688,0.341723
2.079525,2.079525,3.199322,4.923151,0.553298,0.553298,0.835655,0.000000,-0.912044,-0.912044,0.134896,0.134896,-0.109897,-0.175174,0.420600,0.233796,-20.566570,-78.927185,0.440448,-2.780237,0.340811,0.341823
2.085071,2.085071,3.207679,4.923151,0.556187,0.556187,0.835655,0.000000,-0.905467,-0.905467,0.130634,0.130634,-0.100247,-0.167058,0.416339,0.317446,-20.566570,-78.927185,0.440448,-2.780237,0.341121,0.341926
2.090664,2.090664,3.216036,4.923151,0.561282,0.561282,0.835655,0.000000,-0.897206,-0.897206,0.154070,0.154070,-0.088531,-0.156857,0.505708,0.351869,-20.566570,-78.927185,0.440448,-2.780237,0.341334,0.342137
2.096273,2.096273,3.224392,4.923151,0.558692,0.558692,0.835655,0.000000,-0.887602,-0.887602,0.130634,0.130634,-0.075102,-0.145694,0.515239,0.306460,-20.566570,-78.927185,0.440448,-2.780237,0.341535,0.342553
2.101852,2.101852,3.232749,4.923151,0.558228,0.558228,0.835655,0.000000,-0.878269,-0.878269,0.119982,0.119982,-0.061946,-0.134887,0.482608,0.317781,-20.566570,-78.927185,0.440448,-2.780237,0.341639,0.342947
2.107399,2.107399,3.241105,4.923151,0.547552,0.547552,0.835655,0.000000,-0.869310,-0.869310,0.117851,0.117851,-0.053470,-0.124980,-0.014011,0.183784,-20.566570,-78.927185,0.440448,-2.780237,0.340799,0.343195
2.112689,2.112689,3.249462,4.923151,0.512258,0.512258,0.835655,0.000000,-0.862733,-0.862733,0.237161,0.237161,-0.051256,-0.118596,-0.147443,0.226171,-20.566570,-78.927185,0.440448,-2.780237,0.339229,0.343144
2.117639,2.117639,3.257818,4.923151,0.482375,0.482375,0.835655,0.000000,-0.862358,-0.862358,0.474715,0.474715,-0.053363,-0.118221,0.221978,0.474715,-20.566570,-78.927185,0.440448,-2.780237,0.338564,0.343144
2.122458,2.122458,3.266175,4.923151,0.485445,0.485445,0.835655,0.000000,-0.865799,-0.865799,0.610003,0.610003,-0.056313,-0.121858,0.664947,0.599014,-20.566570,-78.927185,0.440448,-2.780237,0.337777,0.343193
2.127488,2.127488,3.274532,4.923151,0.514194,0.514194,0.835655,0.000000,-0.871090,-0.871090,0.736770,0.736770,-0.058052,-0.127149,1.055447,0.736770,-20.566570,-78.927185,0.440448,-2.780237,0.336987,0.343193
2.133170,2.133170,3.282888,4.923151,0.597958,0.597958,0.835655,0.000000,-0.876531,-0.876531,1.006282,1.006282,-0.060718,-0.132788,1.248035,0.995294,-20.566570,-78.927185,0.440448,-2.780237,0.335989,0.343242
2.139432,2.139432,3.291245,4.923151,0.652356,0.652356,0.835655,0.000000,-0.880148,-0.880148,0.721856,0.721856,-0.064116,-0.136595,0.732838,0.721856,-20.566570,-78.927185,0.440448,-2.780237,0.334712,0.343293
2.146044,2.146044,3.299601,4.923151,0.663706,0.663706,0.835655,0.000000,-0.880530,-0.880530,0.394820,0.394820,-0.065828,-0.136976,0.251963,0.405810,-20.566570,-78.927185,0.440448,-2.780237,0.333316,0.343293
2.152719,2.152719,3.307958,4.923151,0.673050,0.673050,0.835655,0.000000,-0.876105,-0.876105,0.269119,0.269119,-0.063241,-0.130826,0.071319,0.521858,-20.566570,-78.927185,0.440448,-2.780237,0.331573,0.343645
2.159560,2.159560,3.316314,4.923151,0.685293,0.685293,0.835655,0.000000,-0.867983,-0.867983,0.151940,0.151940,-0.057704,-0.119079,-0.133777,0.536553,-20.566570,-78.927185,0.440448,-2.780237,0.329510,0.344603
