R_l,L_l,R_dl,L_dl,R_alpha,L_alpha,R_d_alpha,L_d_alpha,R_F,L_F,R_T,L_T,R_theta1,L_theta1,R_theta2,L_theta2,R_d_theta1,L_d_theta1,R_d_theta2,L_d_theta2
0.353612,0.369932,-0.000000,-0.000000,-0.541760,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353612,0.369932,-0.000000,-0.000000,-0.541760,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353612,0.369932,-0.000000,-0.000000,-0.541760,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353612,0.369932,-0.002816,-0.000000,-0.541760,0.950565,-0.000001,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,-0.010990,-0.010990,0.010990,-0.010990
0.353660,0.369932,0.002816,-0.000000,-0.541951,0.950565,0.000001,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.796843,-10.908823,0.010990,-0.010990,-0.010990,-0.010990
0.353612,0.369932,-0.000000,-0.000000,-0.541760,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353612,0.369932,-0.000000,-0.000000,-0.541760,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353660,0.369932,0.002816,-0.000000,-0.541951,0.950565,0.000001,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.796843,-10.908823,0.010990,-0.010990,-0.010990,-0.010990
0.353612,0.369932,-0.002817,-0.000000,-0.541760,0.950565,0.021980,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.032967,-0.010990
0.353660,0.369932,-0.000000,-0.000000,-0.541951,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.796843,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353612,0.369932,-0.002817,-0.000000,-0.541760,0.950565,0.021980,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.032967,-0.010990
0.353612,0.369932,-0.000000,-0.000000,-0.541760,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353660,0.369932,-0.000000,-0.000000,-0.541951,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.796843,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353612,0.369932,-0.002817,-0.000000,-0.541760,0.950565,0.021980,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.032967,-0.010990
0.353612,0.369932,-0.000001,-0.000000,-0.541760,0.950565,0.032970,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.032967,-0.010990,0.032967,-0.010990
0.353660,0.369932,-0.000000,-0.000000,-0.541951,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.796843,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353660,0.369932,-0.000000,-0.000000,-0.541951,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.796843,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353612,0.369932,-0.000000,-0.000000,-0.541760,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353612,0.369932,-0.002817,-0.000000,-0.541760,0.950565,0.021980,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.032967,-0.010990
0.353612,0.369932,-0.000000,-0.000000,-0.541760,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353612,0.369932,-0.000000,-0.000000,-0.541760,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353660,0.369932,-0.000000,-0.000000,-0.541951,0.950565,0.010991,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.796843,-10.908823,0.010990,-0.010990,0.010990,-0.010990
0.353612,0.369932,0.002815,-0.000000,-0.541760,0.950565,0.021982,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.032967,-0.010990,0.010990,-0.010990
0.353612,0.369932,-0.002817,-0.000000,-0.541760,0.950565,0.021980,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597552,-12.322823,12.797224,-10.908823,0.010990,-0.010990,0.032967,-0.010990
0.353661,0.369932,-0.000001,-0.000000,-0.541568,0.950565,0.032970,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.597171,-12.322823,12.797224,-10.908823,0.032967,-0.010990,0.032967,-0.010990
0.353661,0.369932,0.002815,-0.000000,-0.541185,0.950565,0.043961,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.596789,-12.322823,12.797606,-10.908823,0.054947,-0.010990,0.032967,-0.010990
0.353709,0.369932,0.005630,-0.000000,-0.540613,0.950565,0.076927,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.596026,-12.322823,12.797987,-10.908823,0.098900,-0.010990,0.054947,-0.010990
0.353561,0.369932,-0.016901,-0.000000,-0.539663,0.950565,0.120882,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.595645,-12.322823,12.799513,-10.908823,0.054947,-0.010990,0.186813,-0.010990
0.353561,0.369932,-0.002817,-0.000000,-0.538902,0.950565,0.065939,-0.010990,-1.009035,0.544630,-9.598467,-1.952052,-7.594882,-12.322823,12.800276,-10.908823,0.054947,-0.010990,0.076923,-0.010990
