R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_kf_w,L_kf_w,a,w
-0.523010,-0.523010,17.455709,-19.697252,0.000215,0.000215,0.000000,0.000000,-0.009401,-0.009401,0.015275,-0.011351
-0.523007,-0.523007,17.455709,-19.697252,0.000289,0.000289,0.000000,0.000000,-0.006790,-0.006790,-0.052577,-0.008155
-0.523004,-0.523004,17.455709,-19.697252,0.000262,0.000262,0.000000,0.000000,-0.011485,-0.011485,-0.048788,-0.016677
-0.523001,-0.523001,17.455709,-19.697252,0.000233,0.000233,0.000000,0.000000,0.008468,0.008468,0.028644,0.013151
-0.522999,-0.522999,17.455709,-19.697252,0.000233,0.000233,0.000000,0.000000,-0.004676,-0.004676,-0.062787,-0.004959
-0.522996,-0.522996,17.455709,-19.697252,0.000183,0.000183,0.000000,0.000000,-0.001165,-0.001165,-0.025332,0.001433
-0.522994,-0.522994,17.455709,-19.697252,0.000190,0.000190,0.000000,0.000000,-0.001522,-0.001522,-0.002111,-0.002828
-0.522993,-0.522993,17.455709,-19.697252,-0.000011,-0.000011,0.000000,0.000000,-0.001185,-0.001185,-0.039500,-0.007090
-0.522993,-0.522993,17.455709,-19.697252,0.000026,0.000026,0.000000,0.000000,0.002290,0.002290,0.027111,0.002498
-0.522991,-0.522991,17.455709,-19.697252,0.000140,0.000140,0.000000,0.000000,-0.007403,-0.007403,-0.003868,-0.002828
-0.522990,-0.522990,17.455709,-19.697252,0.000134,0.000134,0.000000,0.000000,-0.004930,-0.004930,-0.018009,-0.011351
-0.522988,-0.522988,17.455709,-19.697252,0.000191,0.000191,0.000000,0.000000,-0.000892,-0.000892,-0.024502,-0.004959
-0.522987,-0.522987,17.455709,-19.697252,0.000026,0.000026,0.000000,0.000000,0.010046,0.010046,-0.036839,0.012085
-0.522987,-0.522987,17.455709,-19.697252,-0.000103,-0.000103,0.000000,0.000000,0.003909,0.003909,-0.030220,0.003563
-0.522988,-0.522988,17.455709,-19.697252,0.000015,0.000015,0.000000,0.000000,0.002824,0.002824,0.030893,0.005694
-0.522987,-0.522987,17.455709,-19.697252,0.000178,0.000178,0.000000,0.000000,0.013864,0.013864,0.045271,0.019542
-0.522985,-0.522985,17.455709,-19.697252,0.000224,0.000224,0.000000,0.000000,-0.001995,-0.001995,0.001204,-0.001763
-0.522982,-0.522982,17.455709,-19.697252,0.000171,0.000171,0.000000,0.000000,0.010728,0.010728,-0.035092,0.007824
-0.522979,-0.522979,17.455709,-19.697252,0.000429,0.000429,0.000000,0.000000,-0.004375,-0.004375,0.023656,-0.008155
-0.522975,-0.522975,17.455709,-19.697252,0.000373,0.000373,0.000000,0.000000,0.002061,0.002061,-0.013897,0.000367
-0.522971,-0.522971,17.455709,-19.697252,0.000473,0.000473,0.000000,0.000000,0.001908,0.001908,-0.000850,0.001433
-0.522966,-0.522966,17.455709,-19.697252,0.000531,0.000531,0.000000,0.000000,-0.004915,-0.004915,-0.003178,-0.002828
-0.522962,-0.522962,17.455709,-19.697252,0.000304,0.000304,0.000000,0.000000,-0.009776,-0.009776,0.002592,-0.009220
-0.522960,-0.522960,17.455709,-19.697252,0.000174,0.000174,0.000000,0.000000,-0.013459,-0.013459,-0.019136,-0.016677
-0.522958,-0.522958,17.455709,-19.697252,0.000199,0.000199,0.000000,0.000000,-0.003764,-0.003764,0.000534,-0.002828
-0.522957,-0.522957,17.455709,-19.697252,-0.000000,-0.000000,0.000000,0.000000,0.007705,0.007705,-0.002761,0.009955
-0.522956,-0.522956,17.455709,-19.697252,-0.000017,-0.000017,0.000000,0.000000,-0.000290,-0.000290,-0.011646,-0.002828
