R_F,L_F,R_l,L_l,R_ref_l,L_ref_l,R_dl,L_dl,R_ref_dl,L_ref_dl,R_P,L_P,I12,I13
15.221497,2.815060,0.197881,0.199248,0.200000,0.200000,0.021350,0.018357,0.084773,0.030086,10.684966,-0.640781,-0.742270,0.000000
16.849958,8.174186,0.198092,0.199301,0.200000,0.200000,0.006103,-0.006119,0.076311,0.027940,22.592363,11.350425,0.362771,0.000000
20.585392,2.748150,0.197932,0.199408,0.200000,0.200000,-0.003050,0.012242,0.082722,0.023693,17.594000,3.023553,0.754699,0.000000
23.797136,9.643099,0.197826,0.199301,0.200000,0.200000,-0.012199,-0.012239,0.086956,0.027940,28.334999,10.164801,0.276494,0.000000
19.891809,7.450593,0.197775,0.199300,0.200000,0.200000,0.006098,-0.003060,0.088981,0.027984,18.712059,12.100614,-0.373849,0.000000
21.780142,9.204439,0.197884,0.199194,0.200000,0.200000,-0.006100,-0.006118,0.084651,0.032234,24.047968,7.546673,-0.832472,0.000000
19.078571,7.001800,0.197936,0.199194,0.200000,0.200000,0.003051,0.003059,0.082545,0.032234,24.877121,1.879057,-0.473074,0.000000
20.768660,3.044516,0.197989,0.199300,0.200000,0.200000,-0.006101,0.015299,0.080435,0.027984,24.697336,6.875925,0.292857,0.000000
22.006973,7.450670,0.197936,0.199300,0.200000,0.200000,-0.009151,-0.003060,0.082545,0.027984,24.668716,7.692408,0.423313,0.000000
22.512085,7.455269,0.197884,0.199300,0.200000,0.200000,-0.009150,-0.003060,0.084651,0.028003,25.914347,8.514259,-0.035563,0.000000
18.841393,7.963279,0.197885,0.199247,0.200000,0.200000,0.006100,-0.003060,0.084606,0.030121,16.164209,7.395843,-0.416022,0.000000
19.573330,5.252101,0.197885,0.199300,0.200000,0.200000,0.003050,0.006120,0.084606,0.028003,15.611367,3.352627,-0.384462,0.000000
20.768660,6.716220,0.197989,0.199300,0.200000,0.200000,-0.006101,0.000000,0.080435,0.027984,25.182848,6.228617,0.267156,0.000000
19.304329,6.208271,0.197989,0.199353,0.200000,0.200000,-0.000000,0.000000,0.080435,0.025868,23.534330,9.863303,0.825111,0.000000
21.554251,6.942783,0.197831,0.199353,0.200000,0.200000,-0.003049,-0.003060,0.086760,0.025868,19.861767,8.270660,0.478394,0.000000
23.506176,7.963161,0.197780,0.199247,0.200000,0.200000,-0.009148,-0.003059,0.088795,0.030121,26.118923,9.356924,-0.414170,0.000000
20.579462,10.952703,0.197780,0.199088,0.200000,0.200000,0.003049,-0.009175,0.088797,0.036461,18.188631,6.656929,-0.884952,0.000000
16.655468,8.979771,0.197884,0.199141,0.200000,0.200000,0.015250,-0.003059,0.084648,0.034357,17.457664,9.367123,-0.851907,0.000000
18.558908,6.041373,0.197991,0.199141,0.200000,0.200000,0.003050,0.009176,0.080379,0.034348,21.449642,3.678252,-0.089459,0.000000
16.573162,7.736040,0.198045,0.199194,0.200000,0.200000,0.009154,0.000000,0.078208,0.032234,22.122719,8.339979,0.485997,0.000000
22.939823,7.736059,0.197992,0.199194,0.200000,0.200000,-0.015253,0.000000,0.080329,0.032234,28.994652,11.671471,0.533987,0.000000
20.335899,10.218637,0.197882,0.199088,0.200000,0.200000,-0.000000,-0.006116,0.084733,0.036461,25.200363,9.776355,-0.023958,0.000000
20.853437,7.512309,0.197828,0.199141,0.200000,0.200000,-0.000000,0.003059,0.086889,0.034360,20.137156,7.597000,-0.647985,0.000000
20.862156,8.752573,0.197827,0.199088,0.200000,0.200000,-0.000000,0.000000,0.086926,0.036469,23.759190,11.368873,-0.614403,0.000000
17.115290,6.041365,0.197988,0.199141,0.200000,0.200000,0.009152,0.009176,0.080466,0.034348,21.394167,3.725804,0.002087,0.000000
19.301748,3.275159,0.197989,0.199353,0.200000,0.200000,0.000000,0.012240,0.080424,0.025887,24.121326,5.220567,0.661358,0.000000
22.747120,7.450670,0.197936,0.199300,0.200000,0.200000,-0.012201,-0.003060,0.082579,0.027984,28.685804,6.399830,0.550775,0.000000
20.345476,10.900255,0.197881,0.199247,0.200000,0.200000,-0.000000,-0.015297,0.084773,0.030121,24.633089,15.800374,-0.328645,0.000000
20.345453,7.004096,0.197881,0.199194,0.200000,0.200000,-0.000000,0.003059,0.084773,0.032243,23.340408,3.329814,-0.759975,0.000000
17.632126,8.472322,0.197935,0.199194,0.200000,0.200000,0.009151,-0.003059,0.082619,0.032243,18.618267,8.918941,-0.657339,0.000000
19.301746,6.267677,0.197989,0.199194,0.200000,0.200000,0.000000,0.006118,0.080424,0.032234,19.156918,7.785230,-0.038217,0.000000
18.569508,4.743940,0.197989,0.199353,0.200000,0.200000,0.003051,0.006120,0.080424,0.025887,19.307232,5.905216,0.396545,0.000000
23.479273,6.212849,0.197936,0.199353,0.200000,0.200000,-0.015252,0.000000,0.082579,0.025887,25.630428,5.776124,0.283747,0.000000
21.067810,6.212849,0.197882,0.199353,0.200000,0.200000,-0.003050,0.000000,0.084733,0.025887,24.137396,5.775350,-0.087281,0.000000
19.603802,6.212849,0.197882,0.199353,0.200000,0.200000,0.003050,0.000000,0.084733,0.025887,19.043329,7.214227,-0.216134,0.000000
19.603802,6.212849,0.197882,0.199353,0.200000,0.200000,0.003050,0.000000,0.084733,0.025887,16.346567,6.975595,-0.092034,0.000000
19.301748,5.981808,0.197989,0.199300,0.200000,0.200000,0.000000,0.003060,0.080424,0.027984,22.103119,7.320999,0.263179,0.000000
19.301748,6.716245,0.197989,0.199300,0.200000,0.200000,-0.000000,0.000000,0.080424,0.027984,21.333939,7.578156,0.406422,0.000000
21.283062,8.184979,0.197936,0.199300,0.200000,0.200000,-0.006101,-0.006120,0.082579,0.027984,22.889778,9.197928,-0.150324,0.000000
19.096443,9.431827,0.197935,0.199247,0.200000,0.200000,0.003050,-0.009179,0.082619,0.030121,18.965353,11.141335,-0.856291,0.000000
17.847401,3.783506,0.197988,0.199300,0.200000,0.200000,0.006102,0.012239,0.080466,0.028003,20.081928,3.571497,-0.481950,0.000000
19.515820,7.450530,0.198043,0.199300,0.200000,0.200000,-0.003051,-0.003059,0.078265,0.027984,23.814159,6.713108,0.255445,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,21.554520,8.332918,0.467068,0.000000
21.498219,6.716245,0.197989,0.199300,0.200000,0.200000,-0.009152,0.000000,0.080424,0.027984,24.368084,7.545507,0.239470,0.000000
20.335880,7.450670,0.197882,0.199300,0.200000,0.200000,-0.000000,-0.003060,0.084733,0.027984,21.893911,8.911112,-0.168571,0.000000
20.335869,6.716245,0.197882,0.199300,0.200000,0.200000,-0.000000,0.000000,0.084733,0.027984,21.548956,6.705051,-0.537850,0.000000
17.622543,5.247523,0.197936,0.199300,0.200000,0.200000,0.009151,0.006120,0.082579,0.027984,22.050327,3.845698,-0.346157,0.000000
19.301748,6.942642,0.197989,0.199353,0.200000,0.200000,0.000000,-0.003060,0.080424,0.025868,19.240492,8.030435,0.162754,0.000000
19.301748,6.208271,0.197989,0.199353,0.200000,0.200000,-0.000000,0.000000,0.080424,0.025868,21.341082,7.055357,0.341710,0.000000
22.015091,8.184967,0.197936,0.199300,0.200000,0.200000,-0.009151,-0.006120,0.082579,0.027984,22.918564,8.145477,-0.013345,0.000000
20.335875,6.720824,0.197882,0.199300,0.200000,0.200000,-0.000000,0.000000,0.084733,0.028003,21.376760,6.381656,-0.754778,0.000000
17.115168,6.720824,0.197988,0.199300,0.200000,0.200000,0.009152,0.000000,0.080466,0.028003,12.768231,6.971248,-0.846387,0.000000
18.783617,5.247485,0.198043,0.199300,0.200000,0.200000,-0.000000,0.006120,0.078265,0.027984,18.947565,6.568033,-0.137395,0.000000
19.504072,5.473771,0.198045,0.199353,0.200000,0.200000,-0.003051,0.003060,0.078216,0.025868,24.138733,7.291793,0.354600,0.000000
18.771742,6.208271,0.198045,0.199353,0.200000,0.200000,0.000000,0.000000,0.078216,0.025868,20.535633,6.879086,0.378709,0.000000
18.771742,8.184967,0.198045,0.199300,0.200000,0.200000,0.000000,-0.006120,0.078216,0.027984,20.363111,9.278996,0.322506,0.000000
18.771742,6.716245,0.198045,0.199300,0.200000,0.200000,0.000000,0.000000,0.078216,0.027984,19.860641,6.740781,0.336153,0.000000
19.291019,6.716245,0.197991,0.199300,0.200000,0.200000,0.000000,0.000000,0.080379,0.027984,22.119503,8.442144,0.316597,0.000000
19.291019,6.716245,0.197991,0.199300,0.200000,0.200000,0.000000,0.000000,0.080379,0.027984,21.961246,8.285466,0.157064,0.000000
20.023134,6.716245,0.197991,0.199300,0.200000,0.200000,-0.003050,0.000000,0.080379,0.027984,21.729990,7.043427,0.059850,0.000000
19.291019,6.716245,0.197991,0.199300,0.200000,0.200000,0.000000,0.000000,0.080379,0.027984,19.333242,8.108752,-0.089333,0.000000
19.291019,6.716245,0.197991,0.199300,0.200000,0.200000,0.000000,0.000000,0.080379,0.027984,20.859859,7.193574,-0.263849,0.000000
19.291019,6.716245,0.197991,0.199300,0.200000,0.200000,0.000000,0.000000,0.080379,0.027984,21.783884,8.108228,-0.376808,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,21.183435,7.964577,-0.336891,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,19.379484,6.183362,-0.277566,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,20.684010,7.474408,-0.213942,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,20.376781,7.171942,-0.075902,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,20.520784,7.318349,0.061298,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,21.120197,7.910535,0.113559,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,20.301487,7.101369,0.087017,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,20.549263,7.346712,0.054523,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,21.344128,8.131348,0.010841,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,20.414944,7.213583,-0.084285,0.000000
18.783617,6.716245,0.198043,0.199300,0.200000,0.200000,0.000000,0.000000,0.078265,0.027984,20.609941,7.406822,-0.155025,0.000000
